ID	Zip	Age	Sex	Helsinki should be an example of reducing carbon dioxide emissions	Local wind power should be produced in Helsinki	Construction of wind turbines would have a positive impact on Helsinki's image.	Construction of wind turbines would have a positive impact on the landscape of Helsinki's.	How often do you spend your free time on the shores of Helsinki?	How often do you spend your free time at the waters of Helsinki?	What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?	What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?	What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?	What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?	What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?	What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?	What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?	I would like to influence the placement of wind turbines in Helsinki	I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere	I would like to participate in the construction of wind power as an investor (eg funds, shareholdings).
68	ZIP_00690	42	n	2	2	2	2	3	1	2	2	2	2	2	2	1	2	2	2
69	ZIP_00100	32	m	2	2	2	1	2	1	2	1	1	2	2	1	-1	1	1	0
70	ZIP_00530	51	m	2	2	2	2	2	1	1	1	-1	-1	2	1	-1	1	1	1
71	ZIP_02610	34	m	2	2	2	2	3	1	2	2	1	2	2	2	1	-2	2	2
72	ZIP_00500	31	m	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	1
73	ZIP_00120	74	n	2	1	1	-2	4	1	1	-2	1	-2	1	-1	-1	2	-1	-2
74	ZIP_00330	43	n	2	2	2	1	4	2	2	2	2	2	1	1	2	1	1	-1
75	ZIP_00270	30	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	2	1
76	ZIP_00330	68	m	1	-2	-2	-2	2	3	-1	-2	-2	-1	-1	-2	-2	2	-2	-2
77	ZIP_00180	37	m	2	2	2	-1	4	1	2	1	2	2	2	1	-1	1	1	1
78	ZIP_00180	41	m	2	2	2	2	4	3	2	2	2	2	2	2	2	-1	2	2
79	ZIP_05200	24	m	2	2	2	1	4	2	2	2	2	2	2	2	2	2	2	2
80	ZIP_00510	25	m	2	2	2	1	1	0	2	1	1	2	2	2	2	1	0	1
81	ZIP_00180	49	m	2	2	2	2	3	1	2	2	2	2	2	2	1	1	2	2
82	ZIP_00570	25	n	2	2	2	2	4	1	2	2	2	2	2	1	-1	2	2	1
83	ZIP_01900	44	m	2	2	2	2	3	1	1	1	2	1	1	1	1	1	1	2
84	ZIP_00530	35	m	1	2	2	1	4	2	1	1	2	2	2	1	-1	1	1	-1
85	ZIP_00560	36	m	2	2	2	2	4	3	2	2	2	2	2	1	2	1	1	2
86	ZIP_00180	35	m	2	2	2	0	2	1	1	1	1	2	2	1	-1	2	-1	1
87	ZIP_00120	33	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-2	2	2
88	ZIP_00170	30	m	2	2	2	2	3	1	2	2	2	2	2	1	1	1	1	0
89	ZIP_00820	34	m	2	2	2	1	4	1	2	1	1	1	2	2	0	2	2	2
90	ZIP_00100	28	m	2	1	2	-2	3	0	2	1	2	2	2	1	-1	2	-2	-1
91	ZIP_00420	30	m	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	1
92	ZIP_00120	30	m	2	2	2	2	2	1	2	1	2	2	2	2	2	0	-1	1
93	ZIP_00520	28	n	2	2	2	2	2	2	2	2	2	2	2	2	2	-1	2	-1
94	ZIP_00170	35	m	2	2	2	2	4	1	2	2	2	1	2	1	1	1	1	0
95	ZIP_00530	51	m	2	-2	-2	-2	3	0	-2	-2	2	1	1	-2	-2	2	-2	-2
96	ZIP_00200	30	m	1	-2	-1	-2	3	1	-1	-1	1	-1	1	1	-1	0	-1	-1
97	ZIP_11510	34	n	2	2	2	2	3	1	2	2	2	2	2	1	1	2	2	2
98	ZIP_00560	30	m	2	2	2	-1	4	1	1	1	2	2	2	1	1	1	2	2
99	ZIP_00530	29	n	2	1	2	-1	3	1	1	-1	1	-2	2	-2	-2	2	-1	-1
100	ZIP_00830	46	m	1	-1	-1	-2	2	1	-1	-2	-2	-1	-1	-1	-2	1	-2	-1
101	ZIP_00750	55	m	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2
102	ZIP_00200	30	m	1	1	2	-1	2	1	1	1	1	-1	1	1	-1	1	2	1
103	ZIP_00150	34	m	2	1	2	-1	4	1	1	-1	1	2	2	-1	-2	1	1	0
104	ZIP_00550	59	n	2	2	2	0	4	3	0	0	0	2	1	0	0	2	0	-2
105	ZIP_00550	34	m	1	2	2	-1	3	2	1	1	2	1	1	1	-1	1	2	2
106	ZIP_00180	60	m	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
107	ZIP_00830	22	n	2	2	2	2	4	1	2	2	2	2	2	2	1	-1	2	-1
108	ZIP_00990	40	n	2	2	2	-1	4	1	2	2	2	2	2	2	2	1	2	1
109	ZIP_00210	29	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
110	ZIP_00840	65	m	2	2	2	1	4	1	2	2	1	-1	1	1	2	1	-1	1
111	ZIP_00610	47	m	2	2	2	1	4	3	2	2	2	2	2	2	2	-1	2	1
112	ZIP_02650	28	m	2	2	2	-1	1	1	2	-1	2	1	1	-1	-1	2	2	2
113	ZIP_00240	29	m	2	1	2	2	2	1	2	2	2	2	2	2	2	-1	1	2
114	ZIP_00700	23	m	1	1	2	1	1	0	2	1	2	1	2	2	-1	1	1	1
115	ZIP_00260	61	n	2	1	2	1	3	0	2	1	2	1	2	-1	2	2	2	2
116	ZIP_00670	47	m	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1
117	ZIP_00550	32	m	2	2	2	1	0	0	2	2	1	2	2	1	1	1	2	1
118	ZIP_00100	35	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
119	ZIP_00500	35	n	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	-1
120	ZIP_00180	36	m	2	-2	-1	-2	4	4	-2	-2	-2	-1	-2	-2	-2	2	-2	-2
121	ZIP_00500	28	x	2	2	2	2	3	1	2	2	2	1	2	1	1	-1	1	0
122	ZIP_02300	46	n	1	2	2	-1	2	1	1	1	2	2	-2	-2	-2	2	-2	-2
123	ZIP_00170	36	n	2	2	2	-1	4	1	1	1	1	2	2	-1	-1	2	2	-1
124	ZIP_00500	32	n	2	2	2	2	3	0	2	2	2	2	2	2	2	0	2	0
125	ZIP_00160	34	n	2	2	2	2	4	1	2	2	2	2	2	2	2	0	1	0
126	ZIP_02200	26	m	-2	-2	-1	0	2	1	0	0	0	0	1	-1	-1	0	-2	-2
127	ZIP_00420	37	m	0	2	-2	-2	4	2	-1	-2	1	-1	1	-1	-1	2	2	-2
128	ZIP_00660	36	m	2	2	2	2	3	1	2	1	2	2	2	1	1	1	1	0
129	ZIP_00640	36	m	0	-2	-2	-2	4	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
130	ZIP_00100	46	m	2	2	2	2	3	3	2	2	2	2	2	2	2	1	1	0
131	ZIP_00330	28	m	2	2	2	1	2	1	2	1	1	1	2	2	-1	0	1	0
132	ZIP_00820	21	m	2	1	1	0	3	1	0	1	1	1	2	0	-1	-1	-1	1
133	ZIP_00020	50	n	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
134	ZIP_00660	37	m	-1	1	-1	-2	4	4	1	-2	1	1	-2	-2	-1	2	-2	-2
135	ZIP_00280	36	m	2	2	2	2	4	1	2	2	2	2	2	2	1	-1	2	1
136	ZIP_00980	31	m	2	2	2	2	4	1	2	2	2	2	2	1	1	1	1	1
137	ZIP_00560	38	m	2	2	2	2	4	3	2	2	2	2	2	2	2	1	2	2
138	ZIP_00710	31	m	2	2	2	2	2	2	2	2	2	2	2	2	2	-1	2	1
139	ZIP_00150	39	m	2	2	2	2	4	2	2	2	2	2	2	2	2	2	-2	-2
140	ZIP_00100	30	m	-2	1	1	-2	2	1	0	-1	2	2	-2	-2	-2	2	-1	-2
141	ZIP_00540	37	m	1	-1	1	-2	4	1	-2	-2	1	1	1	-2	-2	2	-2	-1
142	ZIP_00270	31	m	2	2	2	0	3	1	2	2	2	2	2	1	-1	-1	1	1
143	ZIP_25700	47	m	2	2	2	2	1	1	2	2	2	2	-1	1	2	2	-2	-2
144	ZIP_00100	32	m	2	2	2	1	4	1	2	2	2	2	2	1	1	1	2	1
145	ZIP_00300	23	x	2	1	2	1	3	0	2	2	2	2	2	2	1	1	1	-2
146	ZIP_00330	31	m	2	2	2	2	3	2	2	2	1	-1	2	2	-1	1	2	-1
147	ZIP_00270	53	n	2	-1	1	-1	3	1	1	1	1	1	1	-1	-1	2	-1	-1
148	ZIP_00510	28	m	2	2	2	0	3	0	1	1	2	2	2	2	2	1	2	-1
149	ZIP_00390	38	n	2	2	2	2	3	1	2	2	2	2	2	1	1	1	2	1
150	ZIP_00500	83	m	1	-2	-2	-2	1	1	-2	-2	-1	-1	-2	-2	-2	2	-2	-2
151	ZIP_00840	59	m	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
152	ZIP_00140	40	m	-2	2	-2	-2	3	3	-2	-2	-2	-2	-2	-2	-2	2	-2	2
153	ZIP_25700	54	m	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2
154	ZIP_00350	46	m	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2
155	ZIP_00150	40	m	1	1	2	2	4	1	1	1	2	1	1	1	1	-1	-1	-2
156	ZIP_00180	38	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	1	1
157	ZIP_00140	30	m	2	-2	1	-2	4	1	1	-2	-2	1	1	-2	-2	2	-2	1
158	ZIP_00001	31	m	2	2	2	1	3	1	2	2	2	2	2	1	1	1	2	1
159	ZIP_00820	65	n	1	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
160	ZIP_00170	31	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
161	ZIP_00980	27	m	2	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2
162	ZIP_00100	37	m	1	2	2	1	3	1	2	2	1	2	2	2	2	0	0	1
163	ZIP_00800	50	m	2	2	2	2	3	1	2	-2	2	2	2	1	1	1	-1	-1
164	ZIP_00720	36	m	2	2	2	-1	2	1	2	2	2	2	2	2	1	2	2	2
165	ZIP_00560	27	m	2	1	2	-1	3	1	2	1	2	1	2	-1	-1	1	2	1
166	ZIP_00900	35	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	1
167	ZIP_00530	31	m	2	2	2	-1	4	2	2	2	1	2	2	1	-1	1	1	-1
168	ZIP_00100	46	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
169	ZIP_94100	55	m	2	2	2	1	1	0	2	1	2	2	2	1	2	1	1	1
170	ZIP_00550	27	m	2	2	2	1	2	1	1	1	2	2	2	2	2	-2	0	0
171	ZIP_00570	33	m	1	-2	-1	-2	4	0	-1	-2	-1	-1	-1	-2	-2	1	-2	-2
172	ZIP_00170	49	m	1	-2	-2	-2	4	3	-1	-2	-1	1	-2	-2	-2	0	-2	-2
173	ZIP_00760	41	m	1	1	1	1	2	1	-1	-2	2	2	2	1	-1	2	1	-1
174	ZIP_00820	34	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	2
175	ZIP_00180	23	n	2	2	2	-1	4	1	2	1	2	2	2	2	-1	0	2	-1
176	ZIP_02210	54	m	2	-1	-1	-2	1	1	1	-1	1	1	-1	1	-1	1	-1	1
177	ZIP_00530	26	n	2	2	2	2	4	3	2	1	2	2	2	2	1	1	2	-1
178	ZIP_00610	39	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	1
179	ZIP_00530	29	m	1	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
180	ZIP_00150	29	m	1	2	2	1	3	1	2	2	1	1	2	2	1	2	1	1
181	ZIP_00560	25	m	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	2
182	ZIP_00500	22	n	2	2	2	2	3	1	1	1	2	2	2	2	1	-1	2	1
183	ZIP_00510	35	m	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	1
184	ZIP_00580	21	m	2	1	1	1	4	2	1	1	2	2	2	1	-1	2	1	1
185	ZIP_00780	42	m	2	1	2	1	2	1	1	1	1	1	2	1	-1	1	1	0
186	ZIP_00820	35	m	2	2	2	1	4	1	2	1	2	2	-1	1	1	2	2	-1
187	ZIP_00260	29	m	1	-2	1	1	1	0	1	1	-2	1	1	-1	-2	2	-2	-1
188	ZIP_00260	38	m	-2	2	2	-2	4	1	2	1	-2	-2	2	-1	-2	2	-1	2
189	ZIP_01820	38	m	2	2	2	1	4	1	2	2	2	2	2	2	1	1	2	0
190	ZIP_00500	40	m	2	2	2	2	4	0	2	2	2	2	2	2	2	-1	2	0
191	ZIP_00820	46	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
192	ZIP_00100	26	m	1	-2	-1	-2	4	2	1	1	0	0	2	-2	-2	2	-2	-2
193	ZIP_00890	54	n	2	2	2	2	4	1	2	2	2	2	-2	2	2	2	2	2
194	ZIP_00550	43	m	2	2	2	0	3	1	2	1	2	2	2	1	-1	1	2	0
195	ZIP_00120	65	m	1	2	2	2	4	1	2	2	-1	-1	2	2	1	2	1	1
196	ZIP_00920	53	m	2	2	2	1	1	1	1	-2	2	1	1	-1	-1	1	1	1
197	ZIP_00510	29	n	2	2	2	1	3	1	2	1	2	2	2	2	2	1	2	1
198	ZIP_00540	40	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	2	1
199	ZIP_00810	35	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	1	1
200	ZIP_33100	37	m	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2
201	ZIP_00140	31	m	2	2	2	1	2	1	2	1	2	1	2	1	-1	1	1	1
202	ZIP_00520	32	m	2	2	2	2	3	2	2	2	2	2	2	2	2	1	1	1
203	ZIP_00400	36	n	2	1	2	1	3	1	2	-2	2	2	2	2	2	0	2	0
204	ZIP_00540	38	m	2	2	2	2	4	1	2	2	2	2	2	2	1	1	2	-1
205	ZIP_00800	37	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
206	ZIP_00550	32	m	2	2	2	2	4	1	2	2	2	2	2	0	-1	0	2	0
207	ZIP_02600	22	m	2	1	2	-1	2	1	1	1	1	-1	2	-2	-2	1	-1	0
208	ZIP_00200	36	m	2	2	2	2	4	2	2	2	2	2	2	2	1	-1	2	2
209	ZIP_00270	27	m	2	1	2	2	1	1	2	2	2	2	2	2	2	1	1	1
210	ZIP_00530	27	m	-2	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	1	-2	-2
211	ZIP_00440	24	m	2	1	2	1	2	2	2	1	2	-1	1	1	-1	1	-1	-2
212	ZIP_00530	30	m	2	-2	-2	-1	3	1	-1	-2	-2	1	-1	-2	-2	2	-2	-2
213	ZIP_00810	40	n	2	2	2	2	4	0	2	2	2	2	2	1	1	1	2	1
214	ZIP_00820	38	m	2	1	2	1	2	0	2	1	2	1	2	2	1	1	0	2
215	ZIP_00800	35	n	2	2	2	2	4	1	2	2	2	1	2	1	1	0	2	-1
216	ZIP_00810	49	m	2	2	2	1	3	3	2	1	2	2	2	2	1	1	2	1
217	ZIP_02650	32	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	2
218	ZIP_00250	35	m	2	2	1	1	4	1	1	1	2	2	1	1	1	0	2	1
219	ZIP_00160	44	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
220	ZIP_00930	31	m	2	2	2	2	4	1	1	1	2	2	2	2	2	-1	2	2
221	ZIP_00770	34	n	2	2	2	2	2	1	2	2	2	2	2	1	1	0	1	-1
222	ZIP_00100	51	n	2	2	1	1	2	2	1	0	2	1	1	0	0	1	2	2
223	ZIP_00100	38	m	2	2	2	2	3	1	2	2	2	2	2	1	1	1	2	2
224	ZIP_00100	40	m	0	-2	-2	-2	2	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
225	ZIP_00820	34	n	2	2	2	1	3	1	2	2	2	2	2	1	2	0	1	0
226	ZIP_00100	47	n	2	2	2	2	3	1	2	2	1	2	-1	2	2	1	1	2
227	ZIP_00420	63	m	-2	-2	-1	-2	3	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
228	ZIP_00820	57	m	2	2	1	2	4	3	1	-1	2	1	2	1	1	2	1	-1
229	ZIP_00790	38	m	2	2	1	-1	3	2	1	1	2	1	1	-1	-1	1	1	-1
230	ZIP_01100	31	n	1	-1	-1	-2	2	1	1	-2	1	-1	-2	-2	-1	2	-1	-2
231	ZIP_02210	41	m	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	-1
232	ZIP_00140	32	n	2	2	2	2	4	1	2	1	2	2	2	2	2	-1	2	2
233	ZIP_00100	31	n	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	1
234	ZIP_00930	40	n	2	2	2	2	3	0	2	1	2	2	2	1	2	1	1	1
235	ZIP_00240	45	m	2	2	2	0	2	1	2	1	2	2	2	1	1	0	2	0
236	ZIP_00820	45	n	2	2	2	1	4	1	2	1	2	2	2	2	2	-1	1	1
237	ZIP_00210	50	m	-2	-2	-2	-2	3	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
238	ZIP_00780	47	n	2	-2	-2	-2	2	1	-2	-2	-2	-2	-2	-2	-2	0	-2	-2
239	ZIP_00540	66	m	-2	-2	-2	-2	4	2	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2
240	ZIP_00550	32	m	2	2	1	0	3	1	1	0	2	2	2	-1	0	1	1	0
241	ZIP_00100	32	m	2	2	2	2	3	1	2	2	2	-1	2	2	1	1	1	1
242	ZIP_00580	31	n	2	2	2	1	3	1	2	2	2	2	2	2	1	1	2	1
243	ZIP_00250	50	m	-2	-2	-2	-2	3	3	-2	-2	2	-2	-2	-2	-2	2	-2	-2
244	ZIP_00260	66	n	2	2	2	2	4	1	2	1	2	2	2	0	-1	2	2	1
245	ZIP_00430	51	m	2	2	2	-1	3	1	2	2	2	2	2	1	1	-1	1	-1
246	ZIP_00500	31	n	1	1	1	2	3	0	2	2	1	1	2	1	1	-2	1	-2
247	ZIP_00180	31	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	2	1
248	ZIP_00130	56	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	-2	-2
249	ZIP_00100	46	n	-2	2	2	2	3	2	2	2	2	2	1	-1	-1	2	1	-1
250	ZIP_00700	26	n	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1
251	ZIP_00330	27	n	2	2	2	1	4	1	1	2	2	2	1	1	1	2	2	2
252	ZIP_00101	37	m	2	2	2	1	3	2	2	1	2	2	1	1	1	1	2	1
253	ZIP_00530	49	m	2	2	2	2	3	1	2	2	2	1	1	2	2	2	2	-1
254	ZIP_00520	41	x	2	2	2	2	2	1	1	1	2	2	1	1	2	2	2	2
255	ZIP_23960	38	m	2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-1	2	-2	-2
256	ZIP_00100	55	m	2	2	2	2	0	0	2	2	2	2	-2	2	2	-2	2	2
257	ZIP_00820	40	n	2	2	2	1	4	1	1	1	2	2	2	-1	1	2	0	-2
258	ZIP_00550	31	m	2	2	2	-1	2	1	1	1	2	2	2	2	1	-1	2	1
259	ZIP_00190	25	m	2	2	2	1	2	1	2	1	2	2	2	1	1	1	2	1
260	ZIP_00100	26	n	2	2	2	0	3	1	2	1	1	0	2	0	-1	1	1	-2
261	ZIP_00510	35	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	2
262	ZIP_00270	24	n	2	2	2	2	4	2	2	1	2	2	2	2	1	2	2	1
263	ZIP_00100	46	m	2	1	1	1	4	3	1	1	2	2	0	-2	-2	1	0	-1
264	ZIP_02170	23	m	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2
265	ZIP_00530	34	m	2	2	2	2	3	2	2	2	2	2	2	2	2	1	1	1
266	ZIP_00200	45	m	2	2	2	2	0	0	2	2	2	2	2	2	2	2	-2	-2
267	ZIP_00720	38	m	2	2	2	1	3	1	2	1	2	1	2	1	0	1	2	0
268	ZIP_00820	55	n	2	2	2	2	4	1	2	2	2	2	1	1	1	1	2	-2
269	ZIP_00530	31	m	2	2	2	1	4	2	2	2	2	2	1	-1	1	-1	1	1
270	ZIP_00200	33	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	1
271	ZIP_00910	54	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
272	ZIP_00510	45	m	2	2	2	2	3	1	2	2	2	2	2	2	2	0	2	0
273	ZIP_00540	38	m	2	2	2	1	4	1	2	1	2	1	2	1	-1	1	2	-1
274	ZIP_00160	34	m	-1	1	2	2	3	2	2	2	2	1	2	1	2	1	1	-1
275	ZIP_00250	34	x	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
276	ZIP_00810	21	m	2	2	2	1	2	0	2	1	2	1	2	2	-1	1	1	1
277	ZIP_00430	56	m	-2	-2	-2	-2	3	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
278	ZIP_00140	26	m	2	2	2	0	4	1	1	-1	2	2	2	-1	-1	2	2	0
279	ZIP_00330	38	n	2	2	2	1	4	1	2	2	2	2	2	2	2	-1	2	2
280	ZIP_00530	36	m	2	2	2	2	4	2	2	2	2	2	2	2	2	-1	2	2
281	ZIP_00820	35	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-2	2	2
282	ZIP_00100	56	m	2	2	2	2	0	0	2	2	2	2	-2	2	2	2	2	2
283	ZIP_28800	50	n	2	2	2	1	2	1	2	2	2	1	2	1	2	1	2	-1
284	ZIP_00150	28	m	2	2	2	2	4	3	2	2	2	2	2	2	2	1	2	1
285	ZIP_90480	44	m	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2
286	ZIP_00400	27	n	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	0
287	ZIP_00330	44	m	-1	-2	-2	-2	4	1	-2	-2	-1	-1	-1	-2	-2	2	-2	-2
288	ZIP_00500	25	n	2	2	2	2	4	4	2	2	2	2	2	2	1	2	0	0
289	ZIP_06100	37	n	2	2	2	2	3	3	2	2	2	2	2	1	1	2	2	1
290	ZIP_00170	39	m	2	2	2	2	4	1	2	2	1	2	2	2	1	1	2	1
291	ZIP_00520	28	m	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2
292	ZIP_00170	30	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
293	ZIP_00930	60	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
294	ZIP_00250	32	n	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
295	ZIP_00870	57	n	2	2	2	2	3	1	2	1	2	2	2	2	0	2	2	-1
296	ZIP_00170	37	m	-1	-2	-2	-2	3	1	-1	2	1	2	-2	-2	-2	2	1	2
297	ZIP_02150	24	m	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	2
298	ZIP_00820	56	n	2	2	2	2	2	1	1	2	2	0	1	1	-1	1	1	1
299	ZIP_00800	41	m	2	2	2	2	4	0	2	2	2	2	2	2	2	1	2	2
300	ZIP_00820	49	n	2	2	2	2	4	1	2	1	2	2	1	1	2	1	2	2
301	ZIP_00640	29	m	2	2	2	2	3	3	2	2	2	2	2	2	1	2	2	2
302	ZIP_00100	29	n	2	2	2	2	3	3	2	2	2	2	2	2	2	1	2	2
303	ZIP_15140	30	n	2	2	2	1	1	0	2	2	2	2	0	1	2	-2	2	0
304	ZIP_00550	50	m	-2	-2	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
305	ZIP_00100	18	m	2	2	2	2	3	3	1	2	2	2	2	2	2	2	2	1
306	ZIP_00510	26	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	1
307	ZIP_00300	44	m	2	2	2	2	3	2	2	2	2	2	2	1	1	-1	2	1
308	ZIP_00820	46	m	2	2	2	2	4	4	2	2	2	2	2	2	1	2	1	1
309	ZIP_00100	29	n	0	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
310	ZIP_00500	40	n	2	2	2	1	4	1	2	-1	2	1	2	-1	-2	-1	2	1
311	ZIP_00420	56	m	-2	-2	-2	-2	3	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
312	ZIP_00770	27	m	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	2	-2
313	ZIP_00120	37	m	2	2	2	1	4	2	2	2	2	2	2	2	2	-1	2	1
314	ZIP_00570	20	n	2	2	2	2	1	1	2	-1	2	2	2	1	1	1	2	0
315	ZIP_02140	56	n	-1	1	-1	-2	2	1	-1	-2	1	1	1	-2	-2	2	-2	-2
316	ZIP_00500	25	m	1	1	2	1	4	1	1	1	2	1	2	1	-1	1	1	-1
317	ZIP_00530	52	m	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2
318	ZIP_02760	50	m	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
319	ZIP_00500	31	n	2	1	1	1	3	2	2	2	1	2	2	2	1	1	-1	1
320	ZIP_00560	41	n	2	2	2	2	4	1	2	1	2	2	2	1	2	1	1	0
